ISOTime,Sol_Rad,ATemp,Rel_Hum,Wx,Wy,Precip,LW_In
15/11/2011 16:00:00,896.48,31.56,62.71, 0, 0,0.000000,418.33,
15/11/2011 17:00:00,688.86,32.54,57.58, 0, 0,0.000000,416.75,
15/11/2011 18:00:00,438.31,33.73,53.76, 0, 0,0.000000,443.84,
15/11/2011 19:00:00,169.59,32.78,60.38, 0, 0,0.000000,468.88,
15/11/2011 20:00:00,0.00,27.41,88.34, 0, 0,0.029000,510.49,
15/11/2011 21:00:00,0.00,30.31,77.71, 0, 0,0.000000,509.57,
15/11/2011 22:00:00,0.00,28.98,79.68, 0, 0,0.000000,498.90,
15/11/2011 23:00:00,0.00,27.23,86.88, 0, 0,0.000000,494.77,
16/11/2011 00:00:00,0.00,27.72,84.78, 0, 0,0.000000,481.32,
16/11/2011 01:00:00,0.00,27.24,84.13, 0, 0,0.000000,476.30,
16/11/2011 02:00:00,0.00,26.78,88.49, 0, 0,0.000000,476.50,
16/11/2011 03:00:00,0.00,27.52,87.11, 0, 0,0.000000,468.98,
16/11/2011 04:00:00,0.00,27.02,87.88, 0, 0,0.000000,467.34,
16/11/2011 05:00:00,0.00,26.58,90.03, 0, 0,0.000000,467.24,
16/11/2011 06:00:00,0.00,26.02,92.98, 0, 0,0.000000,464.92,
16/11/2011 07:00:00,0.00,25.97,93.53, 0, 0,0.000000,461.27,
16/11/2011 08:00:00,158.18,27.02,87.24, 0, 0,0.000000,458.30,
16/11/2011 09:00:00,426.61,26.00,90.66, 0, 0,0.000000,465.40,
16/11/2011 10:00:00,678.38,25.36,93.31, 0, 0,0.000000,464.25,
16/11/2011 11:00:00,888.21,26.48,94.19, 0, 0,0.000000,470.44,
16/11/2011 12:00:00,1038.67,25.50,78.28, 0, 0,0.000000,468.10,
16/11/2011 13:00:00,1117.93,23.26,88.89,-0.77,0.87,0.000000,440.84,
16/11/2011 14:00:00,1119.88,23.03,91.79,-0.08,1.18,0.000000,441.57,
16/11/2011 15:00:00,1044.37,23.43,94.08,-0.82,0.63,0.058000,413.07,
16/11/2011 16:00:00,897.22,25.52,89.84,-0.14,1.01,0.000000,396.80,
16/11/2011 17:00:00,689.98,28.76,76.78,0.05,0.91,0.000000,391.22,
16/11/2011 18:00:00,439.78,27.75,80.59,0.00,0.89,0.000000,446.65,
16/11/2011 19:00:00,171.30,27.54,83.16,0.05,1.15,0.000000,454.60,
16/11/2011 20:00:00,0.00,26.55,86.43,-1.59,1.06,0.000000,460.21,
16/11/2011 21:00:00,0.00,25.42,87.48,-2.58,1.01,0.000000,453.36,
16/11/2011 22:00:00,0.00,24.72,89.78,-0.51,2.96,0.000000,447.90,
16/11/2011 23:00:00,0.00,24.54,88.68,-1.92,1.60,0.000000,445.38,
17/11/2011 00:00:00,0.00,24.30,90.48,-1.85,0.88,0.000000,446.69,
17/11/2011 01:00:00,0.00,24.41,90.56,-1.43,0.86,0.000000,450.16,
17/11/2011 02:00:00,0.00,25.03,89.16,0.25,1.60,0.000000,446.31,
17/11/2011 03:00:00,0.00,24.82,88.64,0.09,1.31,0.000000,455.73,
17/11/2011 04:00:00,0.00,24.81,88.83,-0.82,0.56,0.000000,455.26,
17/11/2011 05:00:00,0.00,24.56,90.49,-0.42,0.59,0.000000,457.06,
17/11/2011 06:00:00,0.00,24.52,90.91,0.04,0.53,0.000000,458.21,
17/11/2011 07:00:00,0.00,24.43,91.64,0.06,0.41,0.000000,456.11,
17/11/2011 08:00:00,158.16,24.54,90.51,0.02,0.36,0.000000,453.46,
17/11/2011 09:00:00,426.36,24.42,90.81,0.04,0.39,0.000000,454.40,
17/11/2011 10:00:00,677.98,24.14,91.94,-0.06,0.33,0.000000,456.87,
17/11/2011 11:00:00,887.77,24.56,91.49,0.05,0.35,0.000000,456.44,
17/11/2011 12:00:00,1038.29,25.81,87.64,-0.31,0.26,0.000000,434.22,
17/11/2011 13:00:00,1117.71,27.91,77.41,-0.32,0.42,0.000000,413.53,
17/11/2011 14:00:00,1119.92,29.45,69.24,-0.21,0.60,0.000000,391.17,
17/11/2011 15:00:00,1044.75,30.62,62.38,-0.53,0.49,0.000000,403.56,
17/11/2011 16:00:00,897.97,31.35,51.44,-0.68,0.52,0.000000,411.53,
17/11/2011 17:00:00,691.12,32.07,51.66,-0.72,0.57,0.000000,422.67,
17/11/2011 18:00:00,441.29,32.52,52.13,-0.78,0.59,0.000000,444.69,
17/11/2011 19:00:00,173.04,34.12,46.71,-0.75,0.58,0.000000,494.23,
17/11/2011 20:00:00,0.00,35.03,46.04,0.05,0.82,0.000000,516.95,
17/11/2011 21:00:00,0.00,32.08,59.24,0.11,0.97,0.000000,506.71,
17/11/2011 22:00:00,0.00,29.15,73.83,-0.69,0.64,0.000000,513.76,
17/11/2011 23:00:00,0.00,28.83,75.38,0.12,0.80,0.000000,499.61,
18/11/2011 00:00:00,0.00,28.23,79.38,-0.42,0.52,0.000000,487.97,
